#Photo-z Code  KS  CvM  AD1 AD2 
ANNz2     0.0200     52.25     583.0     759.2 
BPZ       0.0388    280.79    1361.4    1557.5 
Delight   0.0876   1075.17   4407.8    6167.5
EAZY      0.0723   1105.58   3475.0    4418.6
FlexZBoost 0.0240     68.83     567.9     478.8
GPz       0.0241    66.80     510.4    670.9 
LePhare   0.0663    473.05      85.9     383.8 
METAPhoR  0.0438    298.56     248.6     715.5 
NN        0.0795   1011.11    3908.2    6307.5 
SkyNet    0.0747    763.00    2740.2    4216.4 
TPZ       0.1138   1801.74    9046.2   10565.7 
TrainZ	  0.0047   1.16	      3.0      7.7
